"player_api_id","player_name","overall_rating","date","gk_rating","appearance","leagues"
27342,"Morten Jensen",58,"2010-02-22 00:00:00",288,1,1
27358,"Roman Weidenfeller",79,"2016-05-12 00:00:00",369,214,1
27376,"Max Gruen",68,"2016-05-05 00:00:00",338,25,1
27424,"Rene Adler",80,"2016-01-07 00:00:00",394,191,1
27433,"Raphael Schaefer",71,"2016-03-10 00:00:00",342,153,1
27445,"Robert Vittek",74,"2011-02-22 00:00:00",45,20,1
27447,"Mathias Hain",69,"2011-02-22 00:00:00",348,3,1
27467,"Oka Nikolov",70,"2013-12-20 00:00:00",340,77,1
27488,"Christian Wetklo",68,"2015-03-13 00:00:00",330,83,1
27503,"Simon Jentzsch",74,"2013-07-05 00:00:00",364,33,1
27504,"Andre Lenz",68,"2012-02-22 00:00:00",332,11,1
27518,"Florian Fromlowitz",65,"2014-02-14 00:00:00",321,56,1
27558,"Francesco Benussi",71,"2016-04-28 00:00:00",351,69,1
27560,"Antonio Rosati",69,"2015-12-03 00:00:00",327,51,1
27615,"Marco Storari",75,"2015-11-12 00:00:00",370,68,1
27658,"Federico Agliardi",68,"2016-04-28 00:00:00",335,38,1
27659,"Salvatore Sirigu",82,"2015-12-10 00:00:00",402,213,2
27667,"Alfonso De Lucia",66,"2012-02-22 00:00:00",324,22,1
27677,"Ivan Pelizzoli",67,"2016-03-31 00:00:00",335,10,1
27691,"Gianluca Curci",72,"2015-11-12 00:00:00",352,156,1
27697,"Luca Castellazzi",68,"2016-04-28 00:00:00",339,67,1
28955,"Wilfredo Caballero",77,"2016-02-25 00:00:00",379,123,2
29303,"Daniel Haas",70,"2015-11-26 00:00:00",343,33,1
29529,"Dario Kresic",68,"2016-03-10 00:00:00",338,1,1
30143,"Alberto Frison,18",70,"2015-07-03 00:00:00",340,18,1
30281,"Francesco Toldo",76,"2010-02-22 00:00:00",382,2,1
30380,"Brad Friedel",77,"2015-03-06 00:00:00",384,164,1
30455,"Heurelho Gomes",76,"2016-02-25 00:00:00",368,142,2
30458,"Ulrich Rame",65,"2013-05-17 00:00:00",326,37,1
30582,"Jose Moreira",72,"2011-08-30 00:00:00",359,9,1
30622,"Paul Robinson",69,"2016-03-17 00:00:00",351,140,1
30633,"Mark Schwarzer",73,"2016-04-07 00:00:00",357,182,1
30648,"Jens Lehmann",79,"2010-02-22 00:00:00",398,66,2
30657,"Iker Casillas",82,"2016-01-28 00:00:00",393,232,2
30660,"Pepe Reina",81,"2016-02-19 00:00:00",407,249,3
